<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<DATETIME>
11656.54,11721.39,11656.54,11704.93,0,0,2024-02-26 01:00:00
11701.62,11707.94,11686.97,11688.05,0,0,2024-02-26 02:00:00
11686.37,11717.03,11685.01,11717.03,0,0,2024-02-26 03:00:00
11709.8,11709.8,11686.14,11686.14,0,0,2024-02-26 04:00:00
11688.99,11709.89,11680.31,11709.89,0,0,2024-02-26 05:00:00
11709.89,11709.89,11709.89,11709.89,0,0,2024-02-26 06:00:00
11684.99,11709.89,11646.16,11656.25,0,0,2024-02-27 01:00:00
11656.75,11658.34,11628.2,11642.05,0,0,2024-02-27 02:00:00
11642.0,11649.53,11634.12,11638.88,0,0,2024-02-27 03:00:00
11644.59,11657.46,11644.53,11656.11,0,0,2024-02-27 04:00:00
11655.72,11671.54,11650.67,11650.67,0,0,2024-02-27 05:00:00
11694.6,11694.6,11694.6,11694.6,0,0,2024-02-27 06:00:00
11705.77,11710.15,11671.42,11672.64,0,0,2024-02-28 01:00:00
11670.13,11695.16,11669.55,11684.97,0,0,2024-02-28 02:00:00
11687.55,11731.64,11687.55,11725.9,0,0,2024-02-28 03:00:00
11726.54,11742.01,11722.12,11742.01,0,0,2024-02-28 04:00:00
11746.89,11775.23,11746.02,11758.3,0,0,2024-02-28 05:00:00
11763.32,11763.32,11763.32,11763.32,0,0,2024-02-28 06:00:00
11704.57,11714.44,11685.55,11693.82,0,0,2024-02-29 01:00:00
11695.82,11712.23,11685.74,11705.15,0,0,2024-02-29 02:00:00
11706.4,11708.66,11675.49,11696.44,0,0,2024-02-29 03:00:00
11694.8,11721.91,11675.56,11718.36,0,0,2024-02-29 04:00:00
11713.42,11716.44,11689.97,11692.63,0,0,2024-02-29 05:00:00
11741.47,11741.47,11741.47,11741.47,0,0,2024-02-29 06:00:00
11703.51,11719.43,11703.51,11708.09,0,0,2024-03-01 01:00:00
11707.79,11717.07,11701.13,11709.72,0,0,2024-03-01 02:00:00
11703.53,11712.19,11695.16,11695.16,0,0,2024-03-01 03:00:00
11695.42,11711.22,11693.97,11707.49,0,0,2024-03-01 04:00:00
11705.56,11744.11,11704.29,11744.11,0,0,2024-03-01 05:00:00
11744.39,11744.39,11744.39,11744.39,0,0,2024-03-01 06:00:00
11720.89,11730.72,11696.13,11699.44,0,0,2024-03-04 01:00:00
11701.67,11740.35,11701.34,11726.81,0,0,2024-03-04 02:00:00
11727.85,11735.34,11712.52,11726.49,0,0,2024-03-04 03:00:00
11726.13,11736.97,11720.34,11721.93,0,0,2024-03-04 04:00:00
11722.25,11732.27,11707.46,11732.07,0,0,2024-03-04 05:00:00
11724.21,11724.21,11724.21,11724.21,0,0,2024-03-04 06:00:00
11703.41,11715.98,11665.95,11665.95,0,0,2024-03-05 01:00:00
11661.16,11678.05,11658.78,11670.86,0,0,2024-03-05 02:00:00
11668.21,11699.18,11667.82,11699.18,0,0,2024-03-05 03:00:00
11695.37,11726.04,11687.24,11720.89,0,0,2024-03-05 04:00:00
11719.97,11746.31,11716.91,11726.42,0,0,2024-03-05 05:00:00
11753.02,11753.02,11753.02,11753.02,0,0,2024-03-05 06:00:00
11692.88,11719.28,11689.1,11708.98,0,0,2024-03-06 01:00:00
11704.39,11709.28,11691.93,11698.25,0,0,2024-03-06 02:00:00
11691.38,11725.02,11691.38,11710.28,0,0,2024-03-06 03:00:00
11710.38,11725.08,11707.63,11722.53,0,0,2024-03-06 04:00:00
11722.76,11743.45,11717.63,11738.7,0,0,2024-03-06 05:00:00
11795.9,11795.9,11795.9,11795.9,0,0,2024-03-06 06:00:00
11827.11,11847.68,11818.69,11838.09,0,0,2024-03-07 01:00:00
11840.73,11842.56,11817.25,11825.13,0,0,2024-03-07 02:00:00
11829.28,11829.28,11790.7,11790.7,0,0,2024-03-07 03:00:00
11791.9,11805.88,11786.42,11803.3,0,0,2024-03-07 04:00:00
11814.54,11820.96,11805.24,11820.49,0,0,2024-03-07 05:00:00
11803.93,11803.93,11803.93,11803.93,0,0,2024-03-07 06:00:00
11825.01,11847.97,11825.01,11845.85,0,0,2024-03-08 01:00:00
11843.29,11844.8,11820.41,11833.56,0,0,2024-03-08 02:00:00
11833.95,11860.11,11833.95,11855.05,0,0,2024-03-08 03:00:00
11854.72,11861.71,11842.11,11855.46,0,0,2024-03-08 04:00:00
11853.8,11869.92,11849.99,11869.75,0,0,2024-03-08 05:00:00
11923.72,11923.72,11923.72,11923.72,0,0,2024-03-08 06:00:00
11860.52,11860.52,11834.64,11853.26,0,0,2024-03-11 01:00:00
11847.46,11850.28,11822.37,11835.44,0,0,2024-03-11 02:00:00
11835.3,11843.8,11828.15,11836.54,0,0,2024-03-11 03:00:00
11833.08,11855.02,11830.22,11839.74,0,0,2024-03-11 04:00:00
11841.67,11853.56,11839.26,11853.56,0,0,2024-03-11 05:00:00
11873.67,11873.67,11873.67,11873.67,0,0,2024-03-11 06:00:00
11827.19,11834.09,11809.79,11818.05,0,0,2024-03-12 01:00:00
11817.64,11825.19,11799.2,11809.63,0,0,2024-03-12 02:00:00
11811.98,11820.95,11801.13,11817.45,0,0,2024-03-12 03:00:00
11815.31,11829.0,11812.8,11820.79,0,0,2024-03-12 04:00:00
11817.04,11822.13,11800.53,11807.57,0,0,2024-03-12 05:00:00
11829.18,11829.18,11829.18,11829.18,0,0,2024-03-12 06:00:00
11815.19,11815.55,11783.01,11801.3,0,0,2024-03-13 01:00:00
11807.26,11807.26,11789.97,11789.97,0,0,2024-03-13 02:00:00
11789.38,11805.37,11789.38,11805.37,0,0,2024-03-13 03:00:00
11806.2,11816.12,11796.49,11805.68,0,0,2024-03-13 04:00:00
11802.96,11812.01,11798.82,11801.38,0,0,2024-03-13 05:00:00
11801.38,11809.02,11801.38,11809.02,0,0,2024-03-13 06:00:00
11791.73,11798.05,11772.62,11786.18,0,0,2024-03-14 01:00:00
11786.44,11797.7,11771.96,11789.15,0,0,2024-03-14 02:00:00
11785.99,11801.05,11772.98,11789.13,0,0,2024-03-14 03:00:00
11793.87,11797.73,11782.2,11786.25,0,0,2024-03-14 04:00:00
11788.19,11805.14,11788.19,11800.52,0,0,2024-03-14 05:00:00
11808.33,11808.33,11808.33,11808.33,0,0,2024-03-14 06:00:00
11766.91,11768.45,11747.18,11755.13,0,0,2024-03-15 01:00:00
11755.92,11756.54,11734.01,11745.48,0,0,2024-03-15 02:00:00
11746.4,11750.5,11707.92,11718.56,0,0,2024-03-15 03:00:00
11714.45,11740.42,11713.5,11735.01,0,0,2024-03-15 04:00:00
11734.84,11741.53,11723.5,11733.3,0,0,2024-03-15 05:00:00
11744.3,11766.98,11744.3,11766.98,0,0,2024-03-15 06:00:00
11766.98,11766.98,11766.98,11766.98,0,0,2024-03-15 07:00:00
11708.85,11733.47,11708.85,11724.82,0,0,2024-03-18 01:00:00
11725.69,11729.0,11713.63,11713.63,0,0,2024-03-18 02:00:00
11711.44,11734.17,11703.87,11718.56,0,0,2024-03-18 03:00:00
11717.11,11724.36,11704.89,11724.36,0,0,2024-03-18 04:00:00
11725.24,11750.77,11721.77,11742.0,0,0,2024-03-18 05:00:00
11728.01,11728.01,11728.01,11728.01,0,0,2024-03-18 06:00:00
11738.09,11754.81,11736.35,11747.75,0,0,2024-03-19 01:00:00
11746.66,11751.43,11737.81,11751.37,0,0,2024-03-19 02:00:00
11752.91,11771.94,11749.1,11771.94,0,0,2024-03-19 03:00:00
11768.73,11790.77,11761.92,11790.77,0,0,2024-03-19 04:00:00
11789.21,11809.79,11783.58,11806.5,0,0,2024-03-19 05:00:00
11817.91,11817.91,11817.91,11817.91,0,0,2024-03-19 06:00:00
11778.09,11815.35,11773.21,11800.65,0,0,2024-03-20 01:00:00
11800.79,11800.92,11776.35,11790.67,0,0,2024-03-20 02:00:00
11792.28,11805.64,11788.17,11799.05,0,0,2024-03-20 03:00:00
11801.0,11812.42,11797.34,11808.41,0,0,2024-03-20 04:00:00
11805.79,11830.3,11801.55,11830.3,0,0,2024-03-20 05:00:00
11832.71,11832.71,11832.71,11832.71,0,0,2024-03-20 06:00:00
11804.25,11848.56,11804.25,11846.38,0,0,2024-03-21 01:00:00
11846.22,11856.26,11841.13,11855.94,0,0,2024-03-21 02:00:00
11850.68,11870.67,11848.28,11867.89,0,0,2024-03-21 03:00:00
11866.21,11893.23,11863.03,11892.61,0,0,2024-03-21 04:00:00
11889.67,11899.38,11881.8,11889.46,0,0,2024-03-21 05:00:00
11910.68,11915.71,11910.68,11915.71,0,0,2024-03-21 06:00:00
11976.82,12001.37,11967.25,11979.78,0,0,2024-03-22 01:00:00
11979.29,11991.51,11964.47,11974.59,0,0,2024-03-22 02:00:00
11972.49,11985.12,11972.49,11977.9,0,0,2024-03-22 03:00:00
11974.81,11981.56,11962.96,11965.03,0,0,2024-03-22 04:00:00
11967.83,11978.77,11961.02,11976.06,0,0,2024-03-22 05:00:00
11978.62,11978.62,11978.62,11978.62,0,0,2024-03-22 06:00:00
11962.1,12046.06,11962.1,12044.17,0,0,2024-03-25 01:00:00
12042.39,12067.9,12042.39,12059.05,0,0,2024-03-25 02:00:00
12068.43,12068.43,12048.08,12061.12,0,0,2024-03-25 03:00:00
12068.27,12089.96,12062.12,12088.54,0,0,2024-03-25 04:00:00
12084.99,12093.7,12083.13,12086.54,0,0,2024-03-25 05:00:00
12067.03,12067.03,12067.03,12067.03,0,0,2024-03-25 06:00:00
11996.61,12057.6,11996.61,12027.69,0,0,2024-03-26 01:00:00
12028.35,12038.03,12016.61,12025.74,0,0,2024-03-26 02:00:00
12021.43,12045.47,12018.32,12037.72,0,0,2024-03-26 03:00:00
12038.35,12068.9,12038.35,12066.06,0,0,2024-03-26 04:00:00
12066.51,12077.18,12039.34,12047.53,0,0,2024-03-26 05:00:00
12031.81,12031.81,12031.81,12031.81,0,0,2024-03-26 06:00:00
11996.89,12023.21,11989.22,12021.73,0,0,2024-03-27 01:00:00
12021.73,12029.6,12003.65,12004.98,0,0,2024-03-27 02:00:00
12006.77,12012.61,11988.06,12010.2,0,0,2024-03-27 03:00:00
