"Date","Price","Open","High","Low","Vol.","Change %"
"12/23/2024","2,631.26","2,641.41","2,646.82","2,623.26","84.44K","-0.35%"
"12/22/2024","2,640.39","2,639.65","2,641.70","2,638.20","2.01K","-0.18%"
"12/20/2024","2,645.10","2,609.70","2,653.80","2,603.70","153.57K","1.42%"
"12/19/2024","2,608.10","2,600.60","2,640.90","2,596.70","191.59K","-1.70%"
"12/18/2024","2,653.30","2,663.30","2,667.60","2,598.10","156.33K","-0.33%"
"12/17/2024","2,662.00","2,670.20","2,675.80","2,646.10","147.05K","-0.30%"
"12/16/2024","2,670.00","2,668.00","2,683.40","2,661.40","116.00K","-0.22%"
"12/13/2024","2,675.80","2,704.90","2,716.40","2,663.30","178.69K","-1.24%"
"12/12/2024","2,709.40","2,753.60","2,761.30","2,696.70","219.47K","-1.72%"
"12/11/2024","2,756.70","2,721.20","2,759.70","2,719.10","264.99K","1.41%"
"12/10/2024","2,718.40","2,684.40","2,721.70","2,680.70","181.51K","1.21%"
"12/09/2024","2,685.80","2,665.00","2,700.00","2,649.70","182.15K","0.99%"
"12/06/2024","2,659.60","2,655.00","2,667.90","2,635.60","167.17K","0.42%"
"12/05/2024","2,648.40","2,674.20","2,680.00","2,646.30","156.12K","-1.04%"
"12/04/2024","2,676.20","2,665.80","2,682.00","2,654.20","171.79K","0.31%"
"12/03/2024","2,667.90","2,662.00","2,678.40","2,656.60","140.97K","0.35%"
"12/02/2024","2,658.50","2,673.80","2,678.50","2,644.50","163.54K","-0.84%"
"11/29/2024","2,681.00","2,660.60","2,690.50","2,644.10","180.76K","0.61%"
"11/27/2024","2,664.80","2,658.30","2,683.40","2,652.20","169.46K","1.15%"
"11/26/2024","2,634.40","2,638.70","2,655.50","2,618.50","2.72K","0.14%"
"11/25/2024","2,630.60","2,728.00","2,735.50","2,629.50","2.57K","-3.46%"
"11/22/2024","2,724.90","2,683.60","2,728.30","2,683.60","0.82K","1.41%"
"11/21/2024","2,687.10","2,663.90","2,688.40","2,663.90","0.54K","0.88%"
"11/20/2024","2,663.60","2,648.80","2,670.80","2,634.40","0.73K","0.34%"
"11/19/2024","2,654.60","2,639.80","2,667.00","2,638.10","49.42K","0.62%"
"11/18/2024","2,638.20","2,595.00","2,643.00","2,592.00","48.33K","1.72%"
"11/15/2024","2,593.60","2,594.00","2,604.00","2,583.70","35.41K","-0.11%"
"11/14/2024","2,596.40","2,602.00","2,609.00","2,565.00","38.52K","-0.53%"
"11/13/2024","2,610.30","2,628.60","2,648.80","2,601.90","69.50K","-0.76%"
"11/12/2024","2,630.30","2,650.20","2,656.90","2,619.90","68.56K","-0.43%"
"11/11/2024","2,641.70","2,716.00","2,717.20","2,641.10","75.01K","-2.86%"
"11/08/2024","2,719.50","2,737.40","2,741.60","2,712.00","73.37K","-0.41%"
"11/07/2024","2,730.60","2,691.70","2,742.10","2,674.80","81.67K","1.12%"
"11/06/2024","2,700.40","2,776.40","2,782.80","2,684.90","40.56K","-2.67%"
"11/05/2024","2,774.60","2,770.30","2,784.20","2,758.20","20.42K","0.13%"
"11/04/2024","2,770.90","2,768.40","2,782.00","2,764.90","14.11K","-0.11%"
"11/01/2024","2,773.90","2,778.60","2,797.00","2,767.70","18.54K","0.00%"
"10/31/2024","2,774.00","2,823.80","2,826.00","2,766.60","22.13K","-1.83%"
"10/30/2024","2,825.70","2,811.60","2,826.30","2,807.40","16.16K","0.71%"
"10/29/2024","2,805.80","2,778.30","2,812.40","2,777.30","19.41K","0.91%"
"10/28/2024","2,780.50","2,775.50","2,782.80","2,761.90","6.93K","0.05%"
"10/25/2024","2,779.10","2,773.10","2,785.40","2,754.00","5.50K","0.21%"
"10/24/2024","2,773.30","2,753.50","2,780.10","2,753.40","14.22K","0.71%"
"10/23/2024","2,753.80","2,787.60","2,796.10","2,746.40","11.66K","-1.10%"
"10/22/2024","2,784.40","2,759.30","2,788.00","2,758.00","8.78K","0.76%"
"10/21/2024","2,763.40","2,760.20","2,779.40","2,754.00","9.56K","0.33%"
"10/18/2024","2,754.30","2,731.40","2,761.90","2,731.40","13.14K","0.84%"
"10/17/2024","2,731.40","2,714.00","2,736.20","2,712.60","11.91K","0.61%"
"10/16/2024","2,714.90","2,702.90","2,726.00","2,698.80","7.16K","0.46%"
"10/15/2024","2,702.40","2,688.90","2,708.90","2,678.20","5.51K","0.50%"
"10/14/2024","2,689.00","2,696.10","2,706.90","2,684.30","2.15K","-0.40%"
