"Date","Price","Open","High","Low","Vol.","Change %"
"12/23/2024","5,947.82","5,933.60","5,955.95","5,902.71","0.00K","0.29%"
"12/20/2024","5,930.85","5,842.00","5,982.06","5,832.30","0.00K","1.09%"
"12/19/2024","5,867.08","5,912.71","5,935.52","5,866.07","0.00K","-0.09%"
"12/18/2024","5,872.16","6,047.65","6,070.67","5,867.79","0.00K","-2.95%"
"12/17/2024","6,050.61","6,052.55","6,057.68","6,035.19","0.00K","-0.39%"
"12/16/2024","6,074.08","6,063.79","6,085.19","6,059.14","0.00K","0.38%"
"12/13/2024","6,051.09","6,068.17","6,078.58","6,035.77","0.00K","0.00%"
"12/12/2024","6,051.25","6,074.29","6,079.68","6,051.25","0.00K","-0.54%"
"12/11/2024","6,084.19","6,060.15","6,092.59","6,060.15","0.00K","0.82%"
"12/10/2024","6,034.91","6,057.59","6,065.40","6,029.89","0.00K","-0.30%"
"12/09/2024","6,052.85","6,083.01","6,088.51","6,048.63","0.00K","-0.61%"
"12/06/2024","6,090.27","6,081.38","6,099.97","6,079.98","0.00K","0.25%"
"12/05/2024","6,075.11","6,089.03","6,094.55","6,072.90","0.00K","-0.19%"
"12/04/2024","6,086.49","6,069.39","6,089.84","6,061.06","0.00K","0.61%"
"12/03/2024","6,049.88","6,042.97","6,052.07","6,033.39","0.00K","0.05%"
"12/02/2024","6,047.15","6,040.11","6,053.58","6,035.33","0.00K","0.24%"
"11/29/2024","6,032.38","6,003.98","6,044.17","6,003.98","0.00K","0.56%"
"11/27/2024","5,998.74","6,014.11","6,020.16","5,984.87","0.00K","-0.38%"
"11/26/2024","6,021.63","6,000.03","6,025.42","5,992.27","0.00K","0.57%"
"11/25/2024","5,987.37","5,992.28","6,020.75","5,963.91","0.00K","0.30%"
"11/22/2024","5,969.34","5,944.36","5,972.90","5,944.36","0.00K","0.35%"
"11/21/2024","5,948.71","5,940.58","5,963.32","5,887.26","0.00K","0.53%"
"11/20/2024","5,917.11","5,914.34","5,920.67","5,860.56","0.00K","0.00%"
"11/19/2024","5,916.98","5,870.05","5,923.51","5,855.29","0.00K","0.40%"
"11/18/2024","5,893.62","5,874.17","5,908.12","5,865.95","0.00K","0.39%"
"11/15/2024","5,870.62","5,912.79","5,915.32","5,853.01","","-1.32%"
"11/14/2024","5,949.17","5,989.68","5,993.88","5,942.28","","-0.60%"
"11/13/2024","5,985.38","5,985.75","6,008.19","5,965.91","","0.02%"
"11/12/2024","5,983.99","6,003.60","6,009.92","5,960.08","","-0.29%"
"11/11/2024","6,001.35","6,008.86","6,017.31","5,986.69","","0.10%"
"11/08/2024","5,995.54","5,976.76","6,012.45","5,976.76","","0.38%"
"11/07/2024","5,973.10","5,947.21","5,983.84","5,947.21","","0.74%"
"11/06/2024","5,929.04","5,864.89","5,936.14","5,864.89","","2.53%"
"11/05/2024","5,782.76","5,722.43","5,783.44","5,722.10","","1.23%"
"11/04/2024","5,712.69","5,725.15","5,741.43","5,696.51","","-0.28%"
"11/01/2024","5,728.80","5,723.22","5,772.52","5,723.22","","0.41%"
"10/31/2024","5,705.45","5,775.34","5,775.34","5,702.86","","-1.86%"
"10/30/2024","5,813.67","5,832.65","5,850.94","5,811.28","","-0.33%"
"10/29/2024","5,832.92","5,819.68","5,847.19","5,802.17","","0.16%"
"10/28/2024","5,823.52","5,833.93","5,842.92","5,823.08","","0.27%"
"10/25/2024","5,808.12","5,826.75","5,862.82","5,799.98","","-0.03%"
"10/24/2024","5,809.86","5,817.80","5,817.80","5,784.92","","0.21%"
"10/23/2024","5,797.42","5,834.50","5,834.85","5,762.41","","-0.92%"
"10/22/2024","5,851.20","5,832.70","5,863.04","5,821.17","","-0.05%"
"10/21/2024","5,853.98","5,857.82","5,866.92","5,824.79","","-0.18%"
"10/18/2024","5,864.67","5,859.43","5,872.17","5,846.11","","0.40%"
"10/17/2024","5,841.47","5,875.62","5,878.46","5,840.25","","-0.02%"
"10/16/2024","5,842.47","5,816.58","5,846.52","5,808.34","","0.47%"
"10/15/2024","5,815.26","5,866.74","5,870.36","5,804.48","","-0.76%"
"10/14/2024","5,859.85","5,829.81","5,871.41","5,829.57","","0.77%"
"10/11/2024","5,815.03","5,775.09","5,822.13","5,775.09","","0.61%"
"10/10/2024","5,780.05","5,778.36","5,795.03","5,764.76","","-0.21%"
"10/09/2024","5,792.04","5,751.80","5,796.80","5,745.02","","0.71%"
"10/08/2024","5,751.13","5,719.14","5,757.60","5,714.56","","0.97%"
"10/07/2024","5,695.94","5,737.80","5,739.34","5,686.85","","-0.96%"
"10/04/2024","5,751.07","5,737.48","5,753.21","5,702.83","","0.90%"
"10/03/2024","5,699.94","5,698.19","5,718.78","5,677.37","","-0.17%"
"10/02/2024","5,709.54","5,698.14","5,719.63","5,674.00","","0.01%"
"10/01/2024","5,708.75","5,757.73","5,757.73","5,681.28","","-0.93%"
"09/30/2024","5,762.48","5,726.52","5,765.14","5,703.53","","0.42%"
"09/27/2024","5,738.17","5,755.36","5,763.78","5,727.34","","-0.13%"
"09/26/2024","5,745.37","5,762.22","5,767.37","5,721.01","","0.40%"
"09/25/2024","5,722.26","5,733.65","5,741.03","5,712.06","","-0.19%"
"09/24/2024","5,732.93","5,727.66","5,735.32","5,698.99","","0.25%"
"09/23/2024","5,718.57","5,711.90","5,725.36","5,704.22","","0.28%"
"09/20/2024","5,702.55","5,709.64","5,715.14","5,674.49","","-0.19%"
"09/19/2024","5,713.64","5,702.63","5,733.57","5,686.42","","1.70%"
"09/18/2024","5,618.26","5,641.68","5,689.75","5,615.08","","-0.29%"
"09/17/2024","5,634.58","5,655.51","5,670.81","5,614.05","","0.03%"
"09/16/2024","5,633.09","5,615.21","5,636.05","5,604.53","","0.13%"
"09/13/2024","5,626.02","5,603.34","5,636.27","5,601.65","","0.54%"
"09/12/2024","5,595.76","5,557.48","5,600.71","5,535.50","","0.75%"
"09/11/2024","5,554.13","5,496.42","5,560.41","5,406.96","","1.07%"
"09/10/2024","5,495.52","5,490.51","5,497.91","5,441.72","","0.45%"
"09/09/2024","5,471.05","5,442.07","5,484.20","5,434.49","","1.16%"
"09/06/2024","5,408.42","5,507.33","5,522.47","5,402.62","","-1.73%"
"09/05/2024","5,503.41","5,520.08","5,546.30","5,480.54","","-0.30%"
"09/04/2024","5,520.07","5,506.68","5,552.99","5,503.66","","-0.16%"
"09/03/2024","5,528.93","5,623.89","5,623.89","5,504.33","","-2.12%"
"08/30/2024","5,648.40","5,612.74","5,651.37","5,581.79","","1.01%"
"08/29/2024","5,591.96","5,607.30","5,646.95","5,583.71","","0.00%"
"08/28/2024","5,592.18","5,624.51","5,627.03","5,560.95","","-0.60%"
"08/27/2024","5,625.80","5,602.89","5,631.18","5,593.48","","0.16%"
"08/26/2024","5,616.84","5,639.66","5,651.62","5,602.34","","-0.32%"
"08/23/2024","5,634.61","5,602.49","5,641.82","5,585.16","","1.15%"
"08/22/2024","5,570.64","5,637.77","5,643.22","5,560.95","","-0.89%"
"08/21/2024","5,620.85","5,603.09","5,632.68","5,591.57","","0.42%"
"08/20/2024","5,597.12","5,602.88","5,620.51","5,585.50","","-0.20%"
"08/19/2024","5,608.25","5,557.23","5,608.30","5,550.74","","0.97%"
"08/16/2024","5,554.25","5,530.50","5,561.98","5,525.17","","0.20%"
"08/15/2024","5,543.22","5,501.13","5,546.23","5,501.13","","1.61%"
"08/14/2024","5,455.21","5,442.36","5,463.22","5,415.91","","0.38%"
"08/13/2024","5,434.43","5,376.98","5,436.50","5,376.98","","1.68%"
"08/12/2024","5,344.39","5,351.88","5,371.20","5,324.37","","0.00%"
"08/09/2024","5,344.16","5,314.66","5,358.67","5,300.84","","0.47%"
"08/08/2024","5,319.31","5,252.57","5,328.03","5,233.85","","2.30%"
"08/07/2024","5,199.50","5,293.13","5,330.64","5,195.54","","-0.77%"
"08/06/2024","5,240.03","5,206.42","5,312.34","5,193.56","","1.04%"
